,Podnaslov,Glavni naslov,Prvi paragraf,Datum objave vijesti
328,ViK na radaru vlasti,Vlada KS od ponedjeljka u stalnom zasjedanju zbog problematike vodosnabdijevanja,"Vlada Kantona Sarajevo od ponedjeljka će biti u stalnom zasjedanju povodom problematike vodosnabdijevanja i dešavanja u KJKP “Vodovod i kanalizacija”. To je najavio premijer KS Elmedin Konaković prilikom današnjeg obilaska glavnog izvorišta Bačevo zajedno sa kantonalnim ministrima Čedomirom Lukićem, Mujom Fišom i Jasminom Halebićem, te novoimenovanim v.d. predsjednika Skupštine ovog preduzeća Muamerom Kosovcem.",11.08.2017. u 16:01
329,Dodatnih 150 litara,"Pušten u rad bunar na izvorištu Bačevo, dodatne količne vode za Sarajevo",Rezultat saradnje KJKP Vodovod i kanalizacija s Vodovodom grada Istanbula (ISKI) je jučerašnje puštanje u rad još jednog bunara na najvećem izvorištu Bačevo.,11.08.2017. u 11:26
330,Odgovor saopćenjem,ViK o ponudi Vodovoda Istočno Sarajevo: 20 litara nikako ne rješava problem vodosnabdijevanja KS,"Nakon što je direktor Vodovoda Istočno Sarajevo Jovan Katić u izjavi za Klix.ba kazao da iz sarajevskog Vodovoda ne dobija odgovore vezane za ponudu za pomoć vodosnabdijevanju Kantona Sarajevo preko izvorišta Tilava, oglasio se i menadžment Vodovoda i kanalizacije KS.",10.08.2017. u 15:30
331,Uprkos redukcijama,Sarajevski Vodovod nezainteresovan za vodu iz Istočnog Sarajeva,Saradnja preduzeća Vodovod i kanalizacija Sarajevo i Vodovoda Istočno Sarajevo obustavljena je nakon što su zajedničkim snagama prošle godine očistili tunel Tilava i radili na rekonstrukciji cjevovoda koji je trebalo da prolazi kroz tunel ispod brda Mojmilo i napaja rezervoar Hrasno. Od tada se Vodovod i kanalizacija oglušuje na pozive Vodovoda Istočno Sarajevo koji je spreman ponuditi dovoljne količine vode kada se građani Sarajeva suočavaju s manjkom vode i redukcijama.,09.08.2017. u 15:02
332,Treća smjena,Pola Sarajeva nema vodu zbog uključivanja novog bunara u glavni cjevovod Mojmilo,Više od pola Sarajeva sinoć od 18 sati nema vode zbog najavljenih radova i uključivanja novog bunara na glavni cjevovod Mojmilo u Novom Gradu.,09.08.2017. u 00:46
333,Zbog radova,"Ne zaboravite nasuti: Vodovod gasi bunare u 18 sati, veći dio Sarajeva će ostati bez vode","Na osnovu odluke Ministarstva komunalne privrede i infrastrukture Kantona Sarajavo i Uprave preduzeća Vodovod i kanalizacija, obavještava potrošače da će završni radovi na Izvorištu Bačevo, a koji se odnose na spajanje novih bunara na potisni cjevovod za Rezervoar Mojmilo, početi danas u 18:00 sati.",08.08.2017. u 08:20
334,Radovi na Bačevu,Veći dio Sarajeva će sutra u 18 sati ostati bez vode,"Veći dio Kantona Sarajevo će u utorak poslijepodne ostati bez vode, a zbog izvođenja prijeko potrebnih radova na izvorištu ""Bačevo"".",07.08.2017. u 16:31
335,Spora reakcija VIK-a,"Kao u zemlji trećeg svijeta: U Sokolju pukla cijev, put potonuo, a voda dolazi do plinskih instalacija","Stanovnici sarajevskog naselja Sokolje dva dana imaju problem s puknutom cijevi zbog koje se voda slijeva niz ulicu. Iako su kvar prijavili jučer ujutro, ekipa je JP Vodovoda i kanalizacija je došla tek u subotu navečer, ali kvar još nije popravljen.",05.08.2017. u 20:24
336,Zbog vrućina,Novi režim redukcije: Vode u Sarajevu neće biti od 23 do 6 sati,"Zbog izrazito velikih vrućina koje utječu na smanjenje izdašnosti na izvorištima, danas je donesena odluka da redukcija vode u glavnom gradu BiH traje od 23 sata do 6 sati ujutro.",04.08.2017. u 16:31
337,,Prosječna plata u komunalnim preduzećima u Kantonu Sarajevo 1.016 KM,"Kantonalna javna preduzeća KS u 2016. godini su ostvarila ukupne prihode od 262.374.341 KM, što je manje za 4,9 posto u odnosu na 2015. godinu. Smanjeni su i rashodi za 9,7 posto, ali su i dalje veći od prihoda za više od 13 miliona KM.",01.08.2017. u 09:36
338,Vlada KS,Zbog lošeg poslovanja razriješeni predsjednik i članovi Skupštine ViK-a,"Na hitnoj sjednici Vlade Kantona Sarajevo sinoć su razriješeni predsjednik i članovi Skupštine preduzeća KJKP ""Vodovod i Kanalizacija“ (ViK).",01.08.2017. u 08:05
339,Skupština KS,ViK u 2016. ostvario gubitak od skoro 16 miliona KM,"Kantonalno javno komunalno preduzeće ""Vodovod i kanalizacija"" d.o.o. Sarajevo je ostvarilo gubitak u iznosu od 15.948.658 KM, što je za 1,1 milion KM više nego 2015. godine.",31.07.2017. u 22:08
340,BiH,ViK potpisao Memorandum o razumijevanju sa istanbulskim vodovodom,Na izvorištu Bačevo danas je u prisustvu mnogobrojnih zvanica potpisan Memorandum o razumijevanju između Istanbulskog vodovoda (ISKI ) i KJKP Vodovod i kanalizacija d.o.o. Sarajevo.,31.07.2017. u 16:55
341,Milion KM,"MHS o ugovoru s ViK-om: Pružat ćemo usluge sofisticiranog BDS sistema, a ne dostave računa","Firma MHS d.o.o. oglasila se nakon objavljenog teksta na portalu Klix.ba u vezi s odlukom direktora KJKP Vodovod i kanalizacija (ViK) d.o.o. Sarajevo o izboru najpovoljnijeg ponuđača za nabavku usluga BDS sistema, a za šta je planirano izdvajanje 1.001.520,00 KM ovom poslovnom subjektu.",28.07.2017. u 14:31
342,Direktor ViK-a,Hadžić: Konaković vrši pritisak da odaberemo Dževada Koldžu za konsultanta,"Menadžment KJKP Vodovod i kanalizacija (ViK) d.o.o. Sarajevo optužio je na današnjoj konferenciji za medije premijera Kantona Sarajevo Elmedina Konakovića da vrši pritisak na njih. Predsjedniku Vlade KS poručili su da se na čelu ViK-a ne nalazi nikakav ""direktoričić"", već direktor Nezir Hadžić.",28.07.2017. u 14:11
343,Javne nabavke,"ViK ima višak radnika, ali za dostavu računa izdvaja milion KM privatnoj firmi","Uprkos stalnim pričama o novim zaposlenjima u KJKP Vodovod i kanalizacija (ViK) d.o.o. Sarajevo, direktor ViK-a Nezir Hadžić potpisao je odluku kojom je dodijeljeno 1.001.520,00 KM privatnoj firmi MHS d.o.o. za očitavanje, printanje i distribuciju računa u Kantonu Sarajevo.",28.07.2017. u 10:12
344,Problemi s računima,"ViK: Visoki računi za vodu u zgradi na Stupu su zbog kvara instalacija, za sanaciju zaduženi upravitelji","Nakon što su se našem portalu javili stanari ulice Vitomira Lukića u sarajevskom naselju Stup, koji imaju problem s nerealno visokim računima za vodu, reagirali su iz KJKP Vodovod i kanalizacija kazavši da su njihovi radnici već izlazili na teren te da je utvrđeno da postoji kvar na vodovodnim instalacijama.",27.07.2017. u 21:47
345,Općina Novi Grad,Uskoro rekonstrukcija tri i po kilometra vodovodne mreže kroz Rajlovačko Polje,Tri i po kilometra distributivne vodovodne mreže u Rajlovačkom Polju bit će rekonstruisano u narednom periodu.,25.07.2017. u 16:40
346,Stari problem ViK-a,Stanari zgrade u sarajevskom naselju Stup šokirani: Porodica za vodu mora platiti 110 KM,Problem s vodovodnim cijevima i curenjem vode na putu do krajnjih korisnika je stari problem u Sarajevu. Ono što je novina za pojedine građane su računi na kojim su iznosi tokom posljednjih mjeseci dvostruko ili trostruko viši.,21.07.2017. u 11:29
347,Kanton Sarajevo,Vodovod i kanalizacija: Voda u našem sistemu je zdravstveno ispravna,"Voda u sistemu gradskog vodosnabdijevanja koje je u nadležnosti KJKP ""Vodovod i kanalizacija d.o.o. Sarajevo je zdravstveno ispravna, saopćeno je iz ovog javnog preduzeća nakon objavljivanja izvještaja Zavoda za javno zdravstvo KS o kvaliteti vode.",04.07.2017. u 13:43
348,Općina Ilidža,Rješenje problema vodosnabdijevanja: Gradi se vodovodna mreža u ulici Orlovača u Butmiru,"KJKP Vodovod i kanalizacija d.o.o. Sarajevo je na osnovu zahtjeva mjesne zajednice Butmir, odnosno Općine Ilidža, izradilo glavni projekat izgradnje distributivnog cjevovoda, kao i projekat rekonstrukcije kućnih priključaka za lokalitet ulice Orlovača.",04.07.2017. u 09:43
349,Podaci za 2016.,"Zdravstvena ispravnost vode u KS: U 7,3 posto uzoraka pronađene bakterije fekalnog porijekla","U Sarajevu je 2016. godine od 519 uzoraka vode analiziranih na mikrobiološku ispravnost, njih 38 bilo zagađeno bakterijama fekalnog porijekla uzrokovanog koliformnim bakterijama, Escherichia coli i Enterococcuss spp. Slični podaci su i za 2017. godinu, gdje se navodi da do juna osam uzoraka vode nije odgovaralo mikrobiološkim parametrima.",03.07.2017. u 21:22
350,Neriješen problem,"Drži vodu dok majstori odu: Cjevovod na Ilidži nakon ""popravke"" opet popustio","Nad oštećenim cjevovodom ispod mosta na Ilidži, odnosno na njegovom dijelu kojem se može prići, radnici KJKP ""Vodovod i kanalizacija"" izvršili su popravku koja je bila kratkog vijeka.",14.06.2017. u 16:55
351,Iznad Željeznice,"Voda curi, ViK-u se ne žuri: Popravljanje cjevovoda na Ilidži sačekat će sniženje nivoa rijeke","Kvarovi na cjevovodu ispod mosta preko rijeke Željeznice na Ilidži danima već zadaju probleme stanovnicima Ilidže. Iz KJKP Vodovod i kanalizacija, u čijoj je nadležnosti ovaj problem, ističu da su upoznati sa kvarovima i da rade na rješavanju.",12.06.2017. u 19:03
352,Od ukupno 17.100 KM,Zenički vodovod donirao 15.000 KM zavodu na čijem je čelu gradonačelnikova supruga,"Javno preduzeće Vodovod i kanalizacija (ViK) Zenica je na osnovu Zakona o donacijama preduzeća u javnom vlasništvu, 31. maja u Službenim novinama Federacije Bosne i Hercegovine objavilo spisak institucija kojima donira novac. Na spisku 13 donacija od po nekoliko stotina KM ističe se donacija od 15.000 KM Javnoj ustanovi Zavod za medicinu rada i sportsku medicinu Zeničko-dobojskog kantona, na čijem je čelu Mersija Kasumović, supruga gradonačelnika Zenice Fuada Kasumovića.",06.06.2017. u 22:17
353,ViK,Poremećaj u vodosnabdijevanju u većem dijelu Sarajeva,"Zbog vremenskih prilika koje su nastupile u toku noći i u jutranjim satima, dolazilo je do čestih strujnih udara i poremećaja u snabdijevanju električnom energijom izvorišta i pumpnih stanica, što za posljedicu ima poremećaj u snabdijevanju vodom šireg gradskog područja. Ekipe Vodovoda su na terenu i očekuju stabilizaciju u toku dana. Mole potrošače za razumijevanje.",19.04.2017. u 08:54
354,25 miliona eura,Okončani pregovori o zajmu za rekonstrukciju vodovodne mreže u Sarajevu,"Predstavnici Vlade Kantona Sarajevo, Ministarstva finansija i trezora BiH, Federalnog ministarstva finansija i KJKP ""Vodovod i kanalizacija"" okončali su danas pregovore o realizaciji zajma u iznosu od 25 miliona eura za rekonstrukciju i sanaciju vodovodne mreže u KS-u sa predstavnicima Evropske banke za obnovu i razvoj u BiH.",12.04.2017. u 17:59
355,Kraj redukcijama,Potpisan sporazum za rekonstrukciju tri kilometra vodovodne mreže u Rajlovcu i Dobrinji,"Sporazum o finansiranju rekonstrukcije vodvodne mreže na području općine Novi Grad Sarajevo sredstvima iz vodnih naknada, potpisali su u zgradi Općine, načelnik Semir Efendić, ministar komunalne privrede i infrastrukture Kantona Sarajevo Senad Hasanspahić i direktor KJKP Vodovod i kanalizacija Nezir Hadžić.",05.04.2017. u 17:06
356,Rekonstrukcija,ViK i Općina Novi Grad nastavljaju obnovu vodovodne mreže,"U prostorijama općine Novi Grad Sarajevo danas je održan sastanak kome su prisustvovali Senad Hasanspahić, ministar komunalne privrede i infrastrukture, Nezir Hadžić, direktor KJKP ""Vodovod i kanalizacija"" Sarajevo i Semir Efendić, načelnik Općine Novi Grad Sarajevo, sa saradnicima. Na sastanku je potpisan Aneks sporazuma u vezi finansiranja projekta iz namjenskih sredstava vodnih naknada iz 2016. godine.",05.04.2017. u 15:37
357,Kredit na 15 godina,Sarajevski ViK dobija 25 miliona eura kredita za modernizaciju vodovodne mreže,"Predstavnici Vlade Kantona Sarajevo, predvođeni premijerom Elmedinom Konakovićem, Federalnog ministarstva finansija te Vodovoda i kanalizacije analizirali su danas uslove iz predloženog ugovora o realizaciji zajma u iznosu od 25 miliona eura za rekonstrukciju i sanaciju vodovodne mreže u Kantonu Sarajevo sa direktorom Ureda Evropske banke za obnovu i razvoj u BiH Ianom Brownom i njegovim saradnicima.",04.04.2017. u 18:13
358,Obraz države,Vodozaštitna zona kod Sarajeva pretvorena u deponiju,"Vodozaštitna zona pokriva oko 1.000 hektara teritorije Kantona Sarajevo i predstavlja vjerovatno najosjetljivije područje zbog svoje izuzetno vrijedne uloge, odnosno njenog manjka - a to je zabrana gradnje i poseban status kada je u pitanju očuvanje integriteta tla.",01.04.2017. u 08:25
359,VODOSNABDIJEVANJE,VIK-u prijavljena 43 kvara na vodomjernim garniturama,"Kantonalnom javnom komunalnom preduzeću ""Vodovod i kanalizacija"" d.o.o. Sarajevo jutros do 8.00 sati prijavljena su 43 kvara na vodomjernim garniturama.",30.03.2017. u 09:17
360,BiH,"Komunalna preduzeća od građana potražuju 200 miliona KM, na Općinskom sudu Sarajevo 900.000 tužbi",Kantonalna javna komunalna preduzeća od građana Kantona Sarajevo potražuju 200 miliona KM te su zbog potraživanja sredstava zbog neplaćanja njihovih usluga Općinskom sudu u Sarajevu dostavili 900.000 tužbi.,24.02.2017. u 17:25
361,BiH,"Direktor VIK-a: Pitanje je dana kada će sistem pasti, treba nam novac!","U prostorijama KJKP Vodovod i kanalizacija u Sarajevu danas je održana prezentacija stanja u preduzeću čiji je sistem, prema riječima njegovog direktora, pred kolapsom.",17.02.2017. u 13:15
362,BiH,Škola i stotine domaćinstava ostali bez vode nakon pucanja cijevi u centru Zenice,"U zeničkoj ulici Sarajevska danas je poslije 13 sati došlo do pucanja vodovodne cijevi, zbog čega je stotine domaćinstava ostalo bez snabdijevanja vodom.",16.02.2017. u 14:12
363,BiH,Konaković: Od mene velika čokolada ko dobije ViK na telefon,Na Skupštini Kantona Sarajevo premijer Kantona Sarajevo osvrnuo se na rad preduzeća KJKP Vodovod i kanalizacija.,07.02.2017. u 13:51
364,BiH,Iz ViK-a tvrde: Voda u Sarajevu je ispravna za piće i svakodnevno se kontroliše,"Povodom informacija o neispravnosti vode za piće u Sarajevu, koje su se pojavile na društvenim mrežama, iz KJKP Vodovod i kanalizacija (ViK) obavještavaju građane da je voda u sistemu javnog vodosnabdijevanja zdravstveno ispravna.",07.02.2017. u 12:57
365,BiH,Nakon redukcija sarajevska porodica dobila račun za vodu u iznosu od 1.180 KM,"Redukcije vode u glavnom gradu BiH postale su svakodnevnica s kojom građani žive. Bez obzira na to što u nekim dijelovima Sarajeva vode više nema nego što ima, iz preduzeća Vodovod i kanalizacija redovno stižu računi u kojima je naplaćen i zrak koji pokreće vodomjer kada voda dođe.",06.02.2017. u 19:31
366,BiH,ViK: Redukcije vode počinju već u 23 sata,"Stanje na glavnom sarajevskom izvorištu Bačevo u subotu je i dalje bez značajnijih promjena, a došlo je do zamućenja, a zbog toga i isključenja pojedinih vrela iz sistema vodosnabdijevanja.",04.02.2017. u 22:52
367,BiH,Problemi se nastavljaju: Zbog radova ViK-a i danas više od 70 sarajevskih ulica bez vode,Zbog popravljanja kvarova na vodovodnoj mreži domaćinstva u više od 70 sarajevskih ulica ostat će danas bez vode.,31.01.2017. u 09:17
368,BiH,"ViK zapošljava 14 osoba na neodređeno, Konaković tvrdi da je to neophodno zbog zahtjeva Svjetske banke","Nakon što je direktor KJKP ""Vodovod i kanalizacija"" Nezir Hadžić obrazložio zahtjev upućen Vladi KS o zapošljavanju 14 osoba na neodređeno vrijeme, premijer KS Elmedin Konaković rekao je za Klix.ba kako nisu imali izbora jer je riječ o zahtjevu Svjetske banke.",23.01.2017. u 20:43
369,BiH,Zbog popravke kvarova prekid vodosnabdijevanja u nekoliko sarajevskih naselja,"Zbog popravke kvarova danas od 9 sati doći će do prekida u vodosnabdijevanju u sarajevskim naseljima u ulicama Vrela Rakovica, Hrvatin, Mala Berkuša, Generala Izeta Nanića, Novopazarska, Vrbovska, Kodžina, Milinkladska, Teočačka, Nadira Kafedžića, Mahmuta Mahmutovića i Mahmutovac.",23.01.2017. u 09:51
370,BiH,Prvog dana vikenda 18 sarajevskih ulica bez vode,Kako je zaopćeno iz KJKP „Vodovod i kanalizacija“ za 21. januar 2017. Služba za održavanje mreže i objekata planirala je izlazak na 18 lokacija radi opravljanja kvarova.,21.01.2017. u 09:24
371,BiH,Konaković: Voda u Sarajevu neće i ne smije poskupjeti ni pod razno,"Nakon što je ministar komunalne privrede Kantona Sarajevo Senad Hasanspahić večeras izjavio kako je u izradi novi tarifni sistem te da je izvijesno da će voda u Sarajevu poskupjeti, premijer KS Elmedin Konaković demantirao je te navode i kazao kako voda neće i ne smije poskupjeti ni pod razno.",19.01.2017. u 21:50
372,BiH,Novi tarifni sistem u izradi: Poskupljuje voda u Sarajevu,Ministar komunalne privrede KS Senad Hasanspahić potvrdio je u večerašnjem intervjuu za TVSA da se već radi na izradi novog tarifnog sistema te da je izvijesno da će voda u Sarajevu poskupjeti.,19.01.2017. u 20:58
373,BiH,Pojedina sarajevska naselja i danas bez vode,"Kao i prethodnih dana, pojedina naselja i sarajevske ulice u četvrtak će ostat bez vode zbog niza propavki kvarova nastalih zbog nedavnih niskih temperatura.",19.01.2017. u 09:15
374,BiH,"ViK: Molimo premijera da nam pomogne, a da priče ostavi za neka bolja vremena","Nakon kritika javnosti zbog problema vodosnabdijevanja i redukcija vode u Sarajevu, reagovala je uprava preduzeća KJKP Vodovod i kanalizacija. U saopćenju za medije su naveli probleme s kojima se suočavaju te su zamolili sve nadležne i premijera KS Elmedina Konakovića da pomognu ovom preduzeću.",18.01.2017. u 11:11
